iter	RMSE
0	1924.7938
1	1875.648341
2	1827.357327
3	1780.451991
4	1735.531788
5	1691.613243
6	1648.382285
7	1608.167558
8	1567.66456
9	1529.950687
10	1492.007593
11	1455.906593
12	1420.271355
13	1385.423298
14	1352.471236
15	1320.561718
16	1289.795699
17	1259.738618
18	1230.379911
19	1201.670346
20	1174.5777
21	1148.149866
22	1122.993967
23	1098.563329
24	1074.386561
25	1051.449308
26	1029.283482
27	1008.315203
28	988.291317
29	968.8385469
30	950.0400973
31	931.8236982
32	914.2596014
33	896.9232695
34	880.3700919
35	864.3423742
36	849.3089464
37	834.9913455
38	820.6143086
39	807.525168
40	794.6166983
41	781.8768125
42	769.7109102
43	757.9796397
44	747.276721
45	736.3058755
46	725.8301461
47	716.0863632
48	706.833341
49	697.6228984
50	688.879733
51	680.599892
52	672.6752278
53	665.4462514
54	657.9561253
55	651.2540764
56	644.3598223
57	637.8236686
58	631.7077479
59	625.9593325
60	620.8020495
61	615.3200098
62	610.1175422
63	605.256624
64	600.5214867
65	596.2082913
66	591.8445247
67	587.8788191
68	584.0381505
69	580.2005152
70	576.6925509
71	573.1456175
72	569.900256
73	566.9269528
74	563.9349061
75	561.1869622
76	558.2867325
77	555.6037911
78	552.9582753
79	550.5151067
80	548.3285195
81	546.2186275
82	544.0851519
83	542.0058788
84	540.0392403
85	538.2463579
86	536.5582502
87	534.9552855
88	533.3257096
89	531.88366
90	530.4914122
91	529.1485615
92	527.7606092
93	526.5200483
94	525.294998
95	524.0685653
96	522.9057721
97	521.8272858
98	520.7267006
99	519.669234
100	518.8812813
101	517.9214795
102	517.0893109
103	516.2428629
104	515.4133543
105	514.6201649
106	513.8343214
107	513.1410877
108	512.3255977
109	511.6412232
110	511.0382566
111	510.5047695
112	509.7496337
113	509.0429182
114	508.4232555
115	507.7706495
116	507.2876996
117	506.7802593
118	506.231616
119	505.7087777
120	505.2360403
121	504.6776357
122	504.1096972
123	503.6624076
124	503.2714756
125	502.8085748
126	502.4103767
127	502.0865642
128	501.6747117
129	501.2216636
130	500.8232193
131	500.4776195
132	500.0756967
133	499.6803414
134	499.2980426
135	498.993421
136	498.6780587
137	498.365889
138	498.0501753
139	497.7318125
140	497.3242256
141	497.0276286
142	496.6738892
143	496.3482998
144	496.0948676
145	495.7248651
146	495.4360515
147	494.961422
148	494.9296426
149	494.6544488
