iter	Passed	Remaining
0	6	939
1	8	599
2	12	630
3	18	686
4	25	726
5	30	724
6	34	704
7	35	637
8	44	695
9	48	679
10	55	701
11	57	662
12	63	669
13	68	667
14	71	640
15	76	637
16	82	645
17	88	650
18	98	680
19	103	672
20	109	672
21	115	669
22	129	716
23	137	722
24	144	723
25	151	722
26	157	718
27	165	719
28	170	711
29	174	696
30	196	752
31	204	753
32	211	748
33	216	737
34	224	738
35	235	746
36	240	735
37	248	732
38	254	723
39	259	713
40	262	697
41	268	689
42	272	679
43	279	673
44	284	664
45	289	653
46	294	645
47	298	633
48	303	625
49	309	618
50	314	610
51	318	600
52	323	592
53	325	578
54	330	570
55	331	557
56	336	549
57	340	540
58	345	533
59	351	526
60	352	514
61	357	507
62	362	501
63	367	494
64	372	487
65	377	480
66	382	473
67	386	466
68	391	459
69	396	453
70	402	447
71	407	441
72	413	436
73	418	430
74	424	424
75	429	418
76	434	412
77	440	406
78	446	401
79	451	394
80	457	389
81	465	386
82	471	380
83	475	373
84	482	368
85	487	363
86	493	357
87	498	351
88	503	345
89	508	338
90	513	332
91	518	326
92	522	320
93	527	314
94	531	307
95	536	301
96	541	295
97	546	289
98	551	283
99	556	278
100	558	270
101	563	265
102	568	259
103	573	253
104	578	247
105	582	241
106	590	237
107	599	233
108	607	228
109	619	225
110	624	219
111	627	212
112	632	207
113	636	201
114	641	195
115	646	189
116	650	183
117	654	177
118	659	171
119	663	165
120	668	160
121	673	154
122	680	149
123	686	144
124	692	138
125	697	132
126	702	127
127	707	121
128	712	115
129	716	110
130	721	104
131	726	99
132	730	93
133	735	87
134	740	82
135	746	76
136	751	71
137	756	65
138	760	60
139	764	54
140	769	49
141	773	43
142	779	38
143	783	32
144	788	27
145	794	21
146	799	16
147	805	10
148	805	5
149	810	0
